"Accepted Payment Types in InPost Basket","Akceptowane Metody Płatności w aplikacji InPost",module,InPost_InPostPay
"Card","Płatność kartą",module,InPost_InPostPay
"Card token","Token karty",module,InPost_InPostPay
"Google Pay","Google Pay",module,InPost_InPostPay
"Apple Pay","Apple Pay",module,InPost_InPostPay
"BLIK code","Kod BLIK",module,InPost_InPostPay
"BLIK token","Token BLIK",module,InPost_InPostPay
"Pay by link","Płatność linkiem",module,InPost_InPostPay
"Shopping limit","Limit zakupowy",module,InPost_InPostPay
"Deferred payment","Opóźniona płatność",module,InPost_InPostPay
"Cash on delivery","Płatność przy odbiorze",module,InPost_InPostPay
"Empty selection will allow all payment types in mobile application.","Nie wybranie żadnej opcji spowoduje umożliwienie wszystkich form płatności w aplikacji mobilnej.",module,InPost_InPostPay
"Legacy Terms and Conditions Mapping", "Starsza Konfiguracja Mapowania zgód",module,InPost_InPostPay
"Terms and Conditions Mapping Settings","Ustawienia mapowania zgód",module,InPost_InPostPay
"Parent Terms and Conditions","Nadrzędna Zgoda",module,InPost_InPostPay
"Link Label","Etykieta Linku",module,InPost_InPostPay
"Magento Terms and Conditions","Zgody Magento",module,InPost_InPostPay
"Requirement","Wymagalność",module,InPost_InPostPay
"Agreement url","Link do zgody",module,InPost_InPostPay
"always","zawsze",module,InPost_InPostPay
"only in new version","tylko gdy nowa wersja",module,InPost_InPostPay
"optional","niewymagana",module,InPost_InPostPay
"No Coupon is required.","Kod Rabatowy nie jest wymagany.",module,InPost_InPostPay
"There was a problem with basket request. Details: %1","Wystąpił problem z żądaniem synchronizacji koszyka InPost Pay. Szczegóły: %1",module,InPost_InPostPay
"No delivery method is allowed for this basket.","Brak metod dostawy dostępnych dla tego koszyka InPost Pay",module,InPost_InPostPay
"Show on register page","Pokaż na stronie rejestracji",module,InPost_InPostPay
"Show on login page","Pokaż na stronie logowania",module,InPost_InPostPay
"Show on checkout","Pokaż na stronie finalizacji zamówienia (checkout)",module,InPost_InPostPay
"Display Settings","Ustawienia wyświetlania",module,InPost_InPostPay
"Show on product cart","Pokaż na karcie produktu",module,InPost_InPostPay
"Show on cart","Pokaż na koszyku",module,InPost_InPostPay
"Show in minicart","Pokaż w minikoszyku",module,InPost_InPostPay
"Show on thank you page","Pokaż na stronie z podziękowaniami",module,InPost_InPostPay
"Success Page URL","Adres URL strony z podziękowaniem za zamówienie",module,InPost_InPostPay
"Button Layout Settings","Ustawienia układu przycisków",module,InPost_InPostPay
"Default value of the button color variant","Domyślna wartość wariantu kolorystycznego przycisku",module,InPost_InPostPay
"Widget dark mode enabled by default","Domyślnie włączony tryb ciemny widgetu",module,InPost_InPostPay
"Signature validation failed!","Weryfikacja sygnatury nie przebiegła pomyślnie!",module,InPost_InPostPay
"Basket status has not been confirmed. Expected: %1 Received: %2","Status koszyka nie został potwierdzony. Oczekiwany: %1 Otrzymany: %2",module,InPost_InPostPay
"Masked phone number: %1 is not same as in merchant quote ID: %2.","Maska numeru telefonu: %1 różni się od tej zapisanej w koszyku sklepu o ID: %2.",module,InPost_InPostPay
"Name: %1 is not same as in merchant quote ID: %2.","Imię użytkownika: %1 różni się od tej zapisanej w koszyku sklepu o ID: %2.",module,InPost_InPostPay
"Surname: %1 is not same as in merchant quote ID: %2.","Nazwisko użytkownika: %1 różni się od tej zapisanej w koszyku sklepu o ID: %2.",module,InPost_InPostPay
"Browser binding was not complete. Browser is not trusted.","Proces powiązania przeglądarki nie został pomyślnie ukończony. Przeglądarka nie jest zaufana.",module,InPost_InPostPay
"Browser ID does not match value saved in merchant quote ID: %1.","ID powiązanej przeglądarki różni się od tej zapisanej w koszyku sklepu ID: %1.",module,InPost_InPostPay
"Cannot confirm basket. Reason: %1","Nie udało się potwierdzić koszyka. Powód: %1",module,InPost_InPostPay
"Selected shipping method is not available [%1 %2].","Wybrana metoda dostawy jest niedostępna [%1 %2].",module,InPost_InPostPay
"Analytics param %1 is too long.","Parametr Analityczny %1 jest zbyt długi.",module,InPost_InPostPay
"Analytics param %1 is not valid.","Parametr Analityczny %1 jest niepoprawny.",module,InPost_InPostPay
"Google Analytics API endpoint URL is invalid: %1","Parametr Analityczny %1 jest niepoprawny.",module,InPost_InPostPay
"Google Analytics API request headers are invalid!","Nagłówki w żądaniu API Google Analytics są niepoprawne!",module,InPost_InPostPay
"Google Analytics API request params are invalid!","Parametry w żądaniu API Google Analytics są niepoprawne!",module,InPost_InPostPay
"Google Analytics API request method are invalid: %1","Metoda: %1 w żądaniu API Google Analytics jest niepoprawna!",module,InPost_InPostPay
"Google Analytics API endpoint ""%1"" responded with %2 code.","Żądanie API ""%1"" Google Analytics zwróciło kod: %2.",module,InPost_InPostPay
"Analytics Settings","Ustawienia Analityki",module,InPost_InPostPay
"Enable Analytics","Włącz Analitykę",module,InPost_InPostPay
"Enable Analytics Data Asynchronous Sending by CRON","Włącz Asynchroniczne Wysyłanie danych Analitycznych przez CRON",module,InPost_InPostPay
"Analytics Data Sending CRON CRON Schedule","Harmonogram CRON Wysyłki Danych Analitycznych",module,InPost_InPostPay
"*/5 * * * * for example causes this CRON to run every 5 minutes","*/5 * * * * przykładowo oznacza wysyłkę przez CRON co 5 minut.",module,InPost_InPostPay
"Enable Sending fbclid Param","Włącz Przekazywanie Parametru fbclid",module,InPost_InPostPay
"Enable Sending gclid Param","Włącz Przekazywanie Parametru gclid",module,InPost_InPostPay
"If enabled basket data will be exported using build-in database message queue system. It requires server infrastructure to keep consumer inpost_pay.basket.create_or_update running.","Jeśli włączono dane koszyka będą eksportowane z wykorzystaniem wbudowanego systemu kolejkowania wiadomości. Wymagane jest po stronie infrastruktury serwerowej utrzymywanie uruchomionego procesu przetwarzającego kolejkę inpost_pay.basket.create_or_update",module,InPost_InPostPay
"Enable asynchronous basket export","Włącz asynchroniczny eksport koszyka",module,InPost_InPostPay
